"id","role","forest_id","person_id","valid_from","valid_to","note","created_at","created_by","updated_at","updated_by"
44,2,23,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
45,1,24,3,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
46,2,24,3,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
47,1,25,77,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
48,2,25,32,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
49,1,26,77,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
50,2,26,32,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
51,1,27,81,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
52,2,27,29,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
53,1,28,81,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
54,2,28,29,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
55,1,29,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
56,2,29,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
57,1,30,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
58,2,30,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
59,1,31,80,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
60,2,31,79,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
61,1,32,25,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
62,2,32,25,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
63,1,33,5,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
64,2,33,5,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
65,1,34,77,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
66,2,34,32,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
67,1,35,81,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
68,2,35,29,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
69,1,36,44,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
70,2,36,44,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
71,1,37,28,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
72,2,37,28,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
73,1,38,58,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
74,2,38,58,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
75,1,39,28,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
76,2,39,28,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
77,1,40,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
78,2,40,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
79,1,41,33,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
80,2,41,17,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
81,1,42,33,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
82,2,42,17,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
83,1,43,78,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
84,2,43,86,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
85,1,44,78,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
86,2,44,86,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
87,1,45,21,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
88,2,45,21,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
89,1,46,87,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
90,2,46,55,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
91,1,47,87,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
92,2,47,55,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
93,1,48,87,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
94,2,48,55,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
95,1,49,10,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
96,2,49,10,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
97,1,50,15,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
98,2,50,15,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
99,1,51,88,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
100,2,51,88,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
101,1,52,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
102,2,52,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
103,1,53,88,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
104,2,53,88,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
105,1,54,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
106,2,54,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
107,1,55,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
108,2,55,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
109,1,56,59,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
110,2,56,59,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
